Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
10/18/2025,3:30 PM,Edmonton Oilers,,New Jersey Devils,,,,,
10/18/2025,3:00 PM,New York Islanders,,Ottawa Senators,,,,,
10/18/2025,7:00 PM,Minnesota Wild,,Philadelphia Flyers,,,,,
10/18/2025,10:00 PM,Pittsburgh Penguins,,San Jose Sharks,,,,,
10/18/2025,7:00 PM,Dallas Stars,,St. Louis Blues,,,,,
10/18/2025,7:00 PM,Seattle Kraken,,Toronto Maple Leafs,,,,,
10/18/2025,10:00 PM,Calgary Flames,,Vegas Golden Knights,,,,,
10/18/2025,7:00 PM,Nashville Predators,,Winnipeg Jets,,,,,
10/19/2025,7:00 PM,Anaheim Ducks,,Chicago Blackhawks,,,,,
10/19/2025,3:00 PM,Edmonton Oilers,,Detroit Red Wings,,,,,
10/19/2025,7:00 PM,Boston Bruins,,Utah Mammoth,,,,,
10/19/2025,12:30 PM,Vancouver Canucks,,Washington Capitals,,,,,
10/20/2025,9:30 PM,Winnipeg Jets,,Calgary Flames,,,,,
10/20/2025,7:30 PM,Buffalo Sabres,,Montreal Canadiens,,,,,
10/20/2025,7:00 PM,Minnesota Wild,,New York Rangers,,,,,
10/20/2025,7:00 PM,Seattle Kraken,,Philadelphia Flyers,,,,,
10/20/2025,10:00 PM,Carolina Hurricanes,,Vegas Golden Knights,,,,,
10/21/2025,7:30 PM,Florida Panthers,,Boston Bruins,,,,,
10/21/2025,8:00 PM,Columbus Blue Jackets,,Dallas Stars,,,,,
10/21/2025,8:00 PM,Anaheim Ducks,,Nashville Predators,,,,,
10/21/2025,7:00 PM,San Jose Sharks,,New York Islanders,,,,,
10/21/2025,7:00 PM,Edmonton Oilers,,Ottawa Senators,,,,,
10/21/2025,7:00 PM,Vancouver Canucks,,Pittsburgh Penguins,,,,,
10/21/2025,8:00 PM,Los Angeles Kings,,St. Louis Blues,,,,,
10/21/2025,7:00 PM,New Jersey Devils,,Toronto Maple Leafs,,,,,
10/21/2025,10:00 PM,Colorado Avalanche,,Utah Mammoth,,,,,
10/21/2025,7:00 PM,Seattle Kraken,,Washington Capitals,,,,,
10/22/2025,7:30 PM,Detroit Red Wings,,Buffalo Sabres,,,,,
10/22/2025,8:30 PM,Montreal Canadiens,,Calgary Flames,,,,,
10/22/2025,7:00 PM,Minnesota Wild,,New Jersey Devils,,,,,
10/23/2025,7:00 PM,Anaheim Ducks,,Boston Bruins,,,,,
10/23/2025,9:00 PM,Carolina Hurricanes,,Colorado Avalanche,,,,,
10/23/2025,9:00 PM,Los Angeles Kings,,Dallas Stars,,,,,
10/23/2025,9:00 PM,Montreal Canadiens,,Edmonton Oilers,,,,,
10/23/2025,7:00 PM,Pittsburgh Penguins,,Florida Panthers,,,,,
10/23/2025,8:00 PM,Vancouver Canucks,,Nashville Predators,,,,,
10/23/2025,7:00 PM,Detroit Red Wings,,New York Islanders,,,,,
10/23/2025,7:00 PM,San Jose Sharks,,New York Rangers,,,,,
10/23/2025,7:00 PM,Philadelphia Flyers,,Ottawa Senators,,,,,
10/23/2025,8:00 PM,Utah Mammoth,,St. Louis Blues,,,,,
10/23/2025,6:45 PM,Chicago Blackhawks,,Tampa Bay Lightning,,,,,
10/23/2025,8:00 PM,Seattle Kraken,,Winnipeg Jets,,,,,
10/24/2025,7:30 PM,Toronto Maple Leafs,,Buffalo Sabres,,,,,
10/24/2025,7:00 PM,Washington Capitals,,Columbus Blue Jackets,,,,,
10/24/2025,7:00 PM,San Jose Sharks,,New Jersey Devils,,,,,
10/24/2025,8:00 PM,Calgary Flames,,Winnipeg Jets,,,,,
10/25/2025,3:00 PM,Colorado Avalanche,,Boston Bruins,,,,,
10/25/2025,8:00 PM,Carolina Hurricanes,,Dallas Stars,,,,,
10/25/2025,7:00 PM,St. Louis Blues,,Detroit Red Wings,,,,,
10/25/2025,6:00 PM,Vegas Golden Knights,,Florida Panthers,,,,,
10/25/2025,6:00 PM,Utah Mammoth,,Minnesota Wild,,,,,
10/25/2025,8:00 PM,Los Angeles Kings,,Nashville Predators,,,,,
10/25/2025,12:30 PM,New York Islanders,,Philadelphia Flyers,,,,,
10/25/2025,7:00 PM,Columbus Blue Jackets,,Pittsburgh Penguins,,,,,
10/25/2025,10:00 PM,Edmonton Oilers,,Seattle Kraken,,,,,
10/25/2025,5:00 PM,Anaheim Ducks,,Tampa Bay Lightning,,,,,
10/25/2025,7:00 PM,Buffalo Sabres,,Toronto Maple Leafs,,,,,
10/25/2025,7:00 PM,Montreal Canadiens,,Vancouver Canucks,,,,,
10/25/2025,7:00 PM,Ottawa Senators,,Washington Capitals,,,,,
10/26/2025,8:00 PM,New York Rangers,,Calgary Flames,,,,,
10/26/2025,7:00 PM,Los Angeles Kings,,Chicago Blackhawks,,,,,
10/26/2025,6:00 PM,San Jose Sharks,,Minnesota Wild,,,,,
10/26/2025,1:00 PM,Colorado Avalanche,,New Jersey Devils,,,,,
10/26/2025,7:00 PM,Dallas Stars,,Nashville Predators,,,,,
10/26/2025,5:00 PM,Vegas Golden Knights,,Tampa Bay Lightning,,,,,
10/26/2025,10:00 PM,Edmonton Oilers,,Vancouver Canucks,,,,,
10/26/2025,6:00 PM,Utah Mammoth,,Winnipeg Jets,,,,,
10/27/2025,7:30 PM,Boston Bruins,,Ottawa Senators,,,,,
10/27/2025,7:00 PM,St. Louis Blues,,Pittsburgh Penguins,,,,,
10/28/2025,7:15 PM,New York Islanders,,Boston Bruins,,,,,
10/28/2025,6:45 PM,Columbus Blue Jackets,,Buffalo Sabres,,,,,
10/28/2025,6:30 PM,Vegas Golden Knights,,Carolina Hurricanes,,,,,
10/28/2025,8:45 PM,Ottawa Senators,,Chicago Blackhawks,,,,,
10/28/2025,9:00 PM,New Jersey Devils,,Colorado Avalanche,,,,,
10/28/2025,8:30 PM,Washington Capitals,,Dallas Stars,,,,,
10/28/2025,9:30 PM,Utah Mammoth,,Edmonton Oilers,,,,,
10/28/2025,7:00 PM,Anaheim Ducks,,Florida Panthers,,,,,
10/28/2025,8:00 PM,Winnipeg Jets,,Minnesota Wild,,,,,
10/28/2025,7:45 PM,Tampa Bay Lightning,,Nashville Predators,,,,,
10/28/2025,6:00 PM,Pittsburgh Penguins,,Philadelphia Flyers,,,,,
10/28/2025,10:30 PM,Montreal Canadiens,,Seattle Kraken,,,,,
10/28/2025,11:00 PM,Los Angeles Kings,,San Jose Sharks,,,,,
10/28/2025,8:15 PM,Detroit Red Wings,,St. Louis Blues,,,,,
10/28/2025,6:15 PM,Calgary Flames,,Toronto Maple Leafs,,,,,
10/28/2025,10:00 PM,New York Rangers,,Vancouver Canucks,,,,,
10/29/2025,7:30 PM,Toronto Maple Leafs,,Columbus Blue Jackets,,,,,
10/30/2025,7:00 PM,Buffalo Sabres,,Boston Bruins,,,,,
10/30/2025,7:30 PM,New York Islanders,,Carolina Hurricanes,,,,,
10/30/2025,9:00 PM,New York Rangers,,Edmonton Oilers,,,,,
10/30/2025,10:30 PM,Detroit Red Wings,,Los Angeles Kings,,,,,
10/30/2025,8:00 PM,Pittsburgh Penguins,,Minnesota Wild,,,,,
10/30/2025,7:00 PM,Calgary Flames,,Ottawa Senators,,,,,
10/30/2025,7:00 PM,Nashville Predators,,Philadelphia Flyers,,,,,
10/30/2025,10:00 PM,New Jersey Devils,,San Jose Sharks,,,,,
10/30/2025,8:00 PM,Vancouver Canucks,,St. Louis Blues,,,,,
10/30/2025,7:00 PM,Dallas Stars,,Tampa Bay Lightning,,,,,
10/30/2025,8:00 PM,Chicago Blackhawks,,Winnipeg Jets,,,,,
10/31/2025,10:00 PM,Detroit Red Wings,,Anaheim Ducks,,,,,
10/31/2025,4:00 PM,Colorado Avalanche,,Vegas Golden Knights,,,,,
10/31/2025,7:00 PM,New York Islanders,,Washington Capitals,,,,,
11/1/2025,1:00 PM,Carolina Hurricanes,,Boston Bruins,,,,,
11/1/2025,7:00 PM,Washington Capitals,,Buffalo Sabres,,,,,
11/1/2025,7:00 PM,St. Louis Blues,,Columbus Blue Jackets,,,,,
11/1/2025,10:00 PM,Chicago Blackhawks,,Edmonton Oilers,,,,,
11/1/2025,6:00 PM,Dallas Stars,,Florida Panthers,,,,,
11/1/2025,9:00 PM,New Jersey Devils,,Los Angeles Kings,,,,,
11/1/2025,7:00 PM,Vancouver Canucks,,Minnesota Wild,,,,,
11/1/2025,7:00 PM,Ottawa Senators,,Montreal Canadiens,,,,,
11/1/2025,3:30 PM,Calgary Flames,,Nashville Predators,,,,,
11/1/2025,7:00 PM,Toronto Maple Leafs,,Philadelphia Flyers,,,,,
11/1/2025,10:00 PM,New York Rangers,,Seattle Kraken,,,,,
11/1/2025,4:00 PM,Colorado Avalanche,,San Jose Sharks,,,,,
11/1/2025,3:00 PM,Pittsburgh Penguins,,Winnipeg Jets,,,,,
11/2/2025,8:00 PM,New Jersey Devils,,Anaheim Ducks,,,,,
11/2/2025,5:00 PM,Columbus Blue Jackets,,New York Islanders,,,,,
11/2/2025,7:00 PM,Calgary Flames,,Philadelphia Flyers,,,,,
11/2/2025,8:00 PM,Detroit Red Wings,,San Jose Sharks,,,,,
11/2/2025,3:30 PM,Tampa Bay Lightning,,Utah Mammoth,,,,,
11/3/2025,8:30 PM,Vancouver Canucks,,Nashville Predators,,,,,
11/3/2025,10:00 PM,Chicago Blackhawks,,Seattle Kraken,,,,,
11/3/2025,8:30 PM,Edmonton Oilers,,St. Louis Blues,,,,,
11/3/2025,7:30 PM,Pittsburgh Penguins,,Toronto Maple Leafs,,,,,
11/4/2025,10:00 PM,Florida Panthers,,Anaheim Ducks,,,,,
11/4/2025,7:00 PM,Utah Mammoth,,Buffalo Sabres,,,,,
11/4/2025,9:30 PM,Tampa Bay Lightning,,Colorado Avalanche,,,,,
11/4/2025,8:00 PM,Edmonton Oilers,,Dallas Stars,,,,,
11/4/2025,10:30 PM,Winnipeg Jets,,Los Angeles Kings,,,,,
11/4/2025,8:00 PM,Nashville Predators,,Minnesota Wild,,,,,
11/4/2025,7:00 PM,Philadelphia Flyers,,Montreal Canadiens,,,,,
11/4/2025,7:00 PM,Boston Bruins,,New York Islanders,,,,,
11/4/2025,7:00 PM,Carolina Hurricanes,,New York Rangers,,,,,
11/4/2025,10:00 PM,Detroit Red Wings,,Vegas Golden Knights,,,,,
11/5/2025,9:30 PM,Columbus Blue Jackets,,Calgary Flames,,,,,
11/5/2025,10:00 PM,San Jose Sharks,,Seattle Kraken,,,,,
11/5/2025,7:00 PM,Utah Mammoth,,Toronto Maple Leafs,,,,,
11/5/2025,10:00 PM,Chicago Blackhawks,,Vancouver Canucks,,,,,
11/5/2025,7:30 PM,St. Louis Blues,,Washington Capitals,,,,,
11/6/2025,7:00 PM,Ottawa Senators,,Boston Bruins,,,,,
11/6/2025,7:00 PM,St. Louis Blues,,Buffalo Sabres,,,,,
11/6/2025,7:00 PM,Minnesota Wild,,Carolina Hurricanes,,,,,
11/6/2025,8:00 PM,Anaheim Ducks,,Dallas Stars,,,,,
11/6/2025,10:00 PM,Florida Panthers,,Los Angeles Kings,,,,,
11/6/2025,7:00 PM,Montreal Canadiens,,New Jersey Devils,,,,,
11/6/2025,8:00 PM,Philadelphia Flyers,,Nashville Predators,,,,,
11/6/2025,7:30 PM,Washington Capitals,,Pittsburgh Penguins,,,,,
11/6/2025,10:00 PM,Tampa Bay Lightning,,Vegas Golden Knights,,,,,
11/7/2025,9:00 PM,Chicago Blackhawks,,Calgary Flames,,,,,
11/7/2025,7:00 PM,New York Rangers,,Detroit Red Wings,,,,,
11/7/2025,7:00 PM,Minnesota Wild,,New York Islanders,,,,,
11/7/2025,10:00 PM,Winnipeg Jets,,San Jose Sharks,,,,,
11/8/2025,7:00 PM,Buffalo Sabres,,Carolina Hurricanes,,,,,
11/8/2025,10:00 PM,Colorado Avalanche,,Edmonton Oilers,,,,,
11/8/2025,7:00 PM,Utah Mammoth,,Montreal Canadiens,,,,,
11/8/2025,12:30 PM,Pittsburgh Penguins,,New Jersey Devils,,,,,
11/8/2025,3:30 PM,Dallas Stars,,Nashville Predators,,,,,
11/8/2025,7:00 PM,New York Islanders,,New York Rangers,,,,,
11/8/2025,1:00 PM,Ottawa Senators,,Philadelphia Flyers,,,,,
11/8/2025,10:00 PM,Florida Panthers,,San Jose Sharks,,,,,
11/8/2025,7:00 PM,Seattle Kraken,,St. Louis Blues,,,,,
11/8/2025,7:00 PM,Washington Capitals,,Tampa Bay Lightning,,,,,
11/8/2025,7:00 PM,Boston Bruins,,Toronto Maple Leafs,,,,,
11/8/2025,10:00 PM,Columbus Blue Jackets,,Vancouver Canucks,,,,,
11/8/2025,10:00 PM,Anaheim Ducks,,Vegas Golden Knights,,,,,
11/9/2025,10:00 PM,Winnipeg Jets,,Anaheim Ducks,,,,,
11/9/2025,7:00 PM,Seattle Kraken,,Dallas Stars,,,,,
11/9/2025,1:00 PM,Chicago Blackhawks,,Detroit Red Wings,,,,,
11/9/2025,8:00 PM,Calgary Flames,,Minnesota Wild,,,,,
11/9/2025,7:00 PM,Utah Mammoth,,Ottawa Senators,,,,,
11/9/2025,2:00 PM,Los Angeles Kings,,Pittsburgh Penguins,,,,,
11/9/2025,7:00 PM,Carolina Hurricanes,,Toronto Maple Leafs,,,,,
11/9/2025,10:00 PM,Colorado Avalanche,,Vancouver Canucks,,,,,
11/10/2025,8:30 PM,Columbus Blue Jackets,,Edmonton Oilers,,,,,
11/10/2025,7:00 PM,New York Islanders,,New Jersey Devils,,,,,
11/10/2025,7:00 PM,Nashville Predators,,New York Rangers,,,,,
11/10/2025,10:00 PM,Florida Panthers,,Vegas Golden Knights,,,,,
11/11/2025,7:00 PM,Toronto Maple Leafs,,Boston Bruins,,,,,
11/11/2025,7:00 PM,Washington Capitals,,Carolina Hurricanes,,,,,
11/11/2025,9:30 PM,Anaheim Ducks,,Colorado Avalanche,,,,,
11/11/2025,8:00 PM,San Jose Sharks,,Minnesota Wild,,,,,
11/11/2025,7:00 PM,Los Angeles Kings,,Montreal Canadiens,,,,,
11/11/2025,7:00 PM,Dallas Stars,,Ottawa Senators,,,,,
11/11/2025,10:00 PM,Columbus Blue Jackets,,Seattle Kraken,,,,,
11/11/2025,8:00 PM,Calgary Flames,,St. Louis Blues,,,,,
11/11/2025,10:00 PM,Winnipeg Jets,,Vancouver Canucks,,,,,
11/12/2025,9:30 PM,New Jersey Devils,,Chicago Blackhawks,,,,,
11/12/2025,7:30 PM,Edmonton Oilers,,Philadelphia Flyers,,,,,
11/12/2025,7:00 PM,New York Rangers,,Tampa Bay Lightning,,,,,
11/12/2025,9:00 PM,Buffalo Sabres,,Utah Mammoth,,,,,
11/13/2025,7:30 PM,Edmonton Oilers,,Columbus Blue Jackets,,,,,
11/13/2025,9:00 PM,San Jose Sharks,,Calgary Flames,,,,,
11/13/2025,9:00 PM,Buffalo Sabres,,Colorado Avalanche,,,,,
11/13/2025,7:00 PM,Anaheim Ducks,,Detroit Red Wings,,,,,
11/13/2025,7:00 PM,Washington Capitals,,Florida Panthers,,,,,
11/13/2025,7:00 PM,Dallas Stars,,Montreal Canadiens,,,,,
11/13/2025,7:00 PM,Boston Bruins,,Ottawa Senators,,,,,
11/13/2025,10:00 PM,Winnipeg Jets,,Seattle Kraken,,,,,
11/13/2025,7:00 PM,Los Angeles Kings,,Toronto Maple Leafs,,,,,
11/13/2025,10:00 PM,New York Islanders,,Vegas Golden Knights,,,,,
11/14/2025,7:00 PM,Vancouver Canucks,,Carolina Hurricanes,,,,,
11/14/2025,2:00 PM,Pittsburgh Penguins,,Nashville Predators,,,,,
11/14/2025,8:00 PM,Philadelphia Flyers,,St. Louis Blues,,,,,
11/14/2025,9:00 PM,New York Islanders,,Utah Mammoth,,,,,
11/15/2025,7:00 PM,Edmonton Oilers,,Carolina Hurricanes,,,,,
11/15/2025,7:00 PM,New York Rangers,,Columbus Blue Jackets,,,,,
11/15/2025,10:00 PM,Winnipeg Jets,,Calgary Flames,,,,,
11/15/2025,7:00 PM,Toronto Maple Leafs,,Chicago Blackhawks,,,,,
11/15/2025,8:00 PM,Philadelphia Flyers,,Dallas Stars,,,,,
11/15/2025,7:00 PM,Buffalo Sabres,,Detroit Red Wings,,,,,
11/15/2025,5:00 PM,Tampa Bay Lightning,,Florida Panthers,,,,,
11/15/2025,6:00 PM,Anaheim Ducks,,Minnesota Wild,,,,,
11/15/2025,7:00 PM,Boston Bruins,,Montreal Canadiens,,,,,
11/15/2025,7:00 PM,Los Angeles Kings,,Ottawa Senators,,,,,
11/15/2025,10:00 PM,San Jose Sharks,,Seattle Kraken,,,,,
11/15/2025,8:00 PM,Vegas Golden Knights,,St. Louis Blues,,,,,
11/15/2025,7:00 PM,New Jersey Devils,,Washington Capitals,,,,,
11/16/2025,9:00 PM,New York Islanders,,Colorado Avalanche,,,,,
11/16/2025,6:00 PM,Vegas Golden Knights,,Minnesota Wild,,,,,
11/16/2025,7:00 PM,Detroit Red Wings,,New York Rangers,,,,,
11/16/2025,9:00 AM,Nashville Predators,,Pittsburgh Penguins,,,,,
11/16/2025,5:00 PM,Vancouver Canucks,,Tampa Bay Lightning,,,,,
11/17/2025,10:00 PM,Utah Mammoth,,Anaheim Ducks,,,,,
11/17/2025,7:00 PM,Carolina Hurricanes,,Boston Bruins,,,,,
11/17/2025,7:00 PM,Edmonton Oilers,,Buffalo Sabres,,,,,
11/17/2025,7:30 PM,Montreal Canadiens,,Columbus Blue Jackets,,,,,
11/17/2025,7:00 PM,Vancouver Canucks,,Florida Panthers,,,,,
11/17/2025,7:00 PM,Los Angeles Kings,,Washington Capitals,,,,,
11/18/2025,8:30 PM,Calgary Flames,,Chicago Blackhawks,,,,,
11/18/2025,8:00 PM,New York Islanders,,Dallas Stars,,,,,
11/18/2025,7:00 PM,Seattle Kraken,,Detroit Red Wings,,,,,
11/18/2025,10:00 PM,Utah Mammoth,,San Jose Sharks,,,,,
11/18/2025,7:00 PM,New Jersey Devils,,Tampa Bay Lightning,,,,,
11/18/2025,7:00 PM,St. Louis Blues,,Toronto Maple Leafs,,,,,
11/18/2025,10:00 PM,New York Rangers,,Vegas Golden Knights,,,,,
11/18/2025,8:00 PM,Columbus Blue Jackets,,Winnipeg Jets,,,,,
11/19/2025,10:00 PM,Boston Bruins,,Anaheim Ducks,,,,,
11/19/2025,7:30 PM,Calgary Flames,,Buffalo Sabres,,,,,
11/19/2025,9:30 PM,Carolina Hurricanes,,Minnesota Wild,,,,,
11/19/2025,7:00 PM,Edmonton Oilers,,Washington Capitals,,,,,
11/20/2025,10:00 PM,Ottawa Senators,,Anaheim Ducks,,,,,
11/20/2025,8:00 PM,Seattle Kraken,,Chicago Blackhawks,,,,,
11/20/2025,9:00 PM,New York Rangers,,Colorado Avalanche,,,,,
11/20/2025,7:00 PM,New York Islanders,,Detroit Red Wings,,,,,
11/20/2025,7:00 PM,New Jersey Devils,,Florida Panthers,,,,,
11/20/2025,7:00 PM,Washington Capitals,,Montreal Canadiens,,,,,
11/20/2025,7:00 PM,St. Louis Blues,,Philadelphia Flyers,,,,,
11/20/2025,10:00 PM,Los Angeles Kings,,San Jose Sharks,,,,,
11/20/2025,7:30 PM,Edmonton Oilers,,Tampa Bay Lightning,,,,,
11/20/2025,7:00 PM,Columbus Blue Jackets,,Toronto Maple Leafs,,,,,
11/20/2025,9:00 PM,Vegas Golden Knights,,Utah Mammoth,,,,,
11/20/2025,10:00 PM,Dallas Stars,,Vancouver Canucks,,,,,
11/21/2025,7:00 PM,Chicago Blackhawks,,Buffalo Sabres,,,,,
11/21/2025,10:30 PM,Boston Bruins,,Los Angeles Kings,,,,,
11/21/2025,7:00 PM,Minnesota Wild,,Pittsburgh Penguins,,,,,
11/21/2025,8:00 PM,Carolina Hurricanes,,Winnipeg Jets,,,,,
11/22/2025,10:00 PM,Vegas Golden Knights,,Anaheim Ducks,,,,,
11/22/2025,10:00 PM,Dallas Stars,,Calgary Flames,,,,,
11/22/2025,1:00 PM,Columbus Blue Jackets,,Detroit Red Wings,,,,,
11/22/2025,7:00 PM,Edmonton Oilers,,Florida Panthers,,,,,
11/22/2025,7:00 PM,Toronto Maple Leafs,,Montreal Canadiens,,,,,
11/22/2025,8:00 PM,Colorado Avalanche,,Nashville Predators,,,,,
11/22/2025,3:30 PM,St. Louis Blues,,New York Islanders,,,,,
11/22/2025,7:00 PM,New Jersey Devils,,Philadelphia Flyers,,,,,
11/22/2025,7:00 PM,Seattle Kraken,,Pittsburgh Penguins,,,,,
11/22/2025,7:00 PM,Ottawa Senators,,San Jose Sharks,,,,,
11/22/2025,9:00 PM,New York Rangers,,Utah Mammoth,,,,,
11/22/2025,7:00 PM,Tampa Bay Lightning,,Washington Capitals,,,,,
11/23/2025,1:00 PM,Carolina Hurricanes,,Buffalo Sabres,,,,,
11/23/2025,7:00 PM,Colorado Avalanche,,Chicago Blackhawks,,,,,
11/23/2025,5:00 PM,Seattle Kraken,,New York Islanders,,,,,
11/23/2025,8:00 PM,Boston Bruins,,San Jose Sharks,,,,,
11/23/2025,9:00 PM,Calgary Flames,,Vancouver Canucks,,,,,
11/23/2025,4:00 PM,Minnesota Wild,,Winnipeg Jets,,,,,
11/24/2025,9:00 PM,Ottawa Senators,,Los Angeles Kings,,,,,
11/24/2025,7:00 PM,Detroit Red Wings,,New Jersey Devils,,,,,
11/24/2025,8:00 PM,Florida Panthers,,Nashville Predators,,,,,
11/24/2025,7:00 PM,St. Louis Blues,,New York Rangers,,,,,
