Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/1/2014,Arizona Coyotes,0,Carolina Hurricanes,3,,10870,,
11/1/2014,Vancouver Canucks,3,Edmonton Oilers,2,,16839,,
11/1/2014,Philadelphia Flyers,1,Florida Panthers,2,,9774,,
11/1/2014,Dallas Stars,1,Minnesota Wild,4,,19088,,
11/1/2014,Columbus Blue Jackets,2,New Jersey Devils,3,,13542,,
11/1/2014,Winnipeg Jets,1,New York Rangers,0,SO,18006,,
11/1/2014,Buffalo Sabres,0,Pittsburgh Penguins,5,,18652,,
11/1/2014,New York Islanders,1,San Jose Sharks,3,,17562,,
11/1/2014,Colorado Avalanche,2,St. Louis Blues,3,SO,17498,,
11/1/2014,Washington Capitals,3,Tampa Bay Lightning,4,,19119,,
11/1/2014,Chicago Blackhawks,2,Toronto Maple Leafs,3,,19138,,
11/2/2014,Detroit Red Wings,2,Buffalo Sabres,3,SO,17815,,
11/2/2014,Los Angeles Kings,2,Carolina Hurricanes,3,,10519,,
11/2/2014,Winnipeg Jets,1,Chicago Blackhawks,0,,21204,,
11/2/2014,Anaheim Ducks,3,Colorado Avalanche,2,,15310,,
11/2/2014,Calgary Flames,6,Montreal Canadiens,2,,21287,,
11/2/2014,Nashville Predators,3,Vancouver Canucks,1,,18395,,
11/2/2014,Arizona Coyotes,6,Washington Capitals,5,,18506,,
11/3/2014,St. Louis Blues,4,New York Rangers,3,SO,18006,,
11/4/2014,Toronto Maple Leafs,2,Arizona Coyotes,3,,14202,,
11/4/2014,Florida Panthers,1,Boston Bruins,2,OT,17565,,
11/4/2014,Carolina Hurricanes,4,Columbus Blue Jackets,2,,15638,,
11/4/2014,Vancouver Canucks,5,Colorado Avalanche,2,,13221,,
11/4/2014,Los Angeles Kings,3,Dallas Stars,1,,16567,,
11/4/2014,Pittsburgh Penguins,4,Minnesota Wild,1,,18788,,
11/4/2014,Chicago Blackhawks,5,Montreal Canadiens,0,,21287,,
11/4/2014,St. Louis Blues,1,New Jersey Devils,0,,15102,,
11/4/2014,Detroit Red Wings,1,Ottawa Senators,3,,16436,,
11/4/2014,Edmonton Oilers,1,Philadelphia Flyers,4,,19566,,
11/4/2014,Nashville Predators,1,Winnipeg Jets,3,,15016,,
11/4/2014,Calgary Flames,4,Washington Capitals,3,OT,18506,,
11/5/2014,New York Islanders,3,Anaheim Ducks,2,OT,16448,,
11/5/2014,Montreal Canadiens,2,Buffalo Sabres,1,SO,17837,,
11/5/2014,Detroit Red Wings,3,New York Rangers,4,OT,18006,,
11/6/2014,Edmonton Oilers,2,Boston Bruins,5,,17565,,
11/6/2014,Toronto Maple Leafs,3,Colorado Avalanche,4,SO,15036,,
11/6/2014,Nashville Predators,3,Dallas Stars,2,,17054,,
11/6/2014,New York Islanders,2,Los Angeles Kings,1,SO,18230,,
11/6/2014,Minnesota Wild,0,Ottawa Senators,3,,16867,,
11/6/2014,Florida Panthers,1,Philadelphia Flyers,4,,19777,,
11/6/2014,Vancouver Canucks,3,San Jose Sharks,2,,17562,,
11/6/2014,New Jersey Devils,3,St. Louis Blues,4,,16523,,
11/6/2014,Calgary Flames,2,Tampa Bay Lightning,5,,18276,,
11/6/2014,Pittsburgh Penguins,4,Winnipeg Jets,3,SO,15016,,
11/7/2014,Arizona Coyotes,3,Anaheim Ducks,2,SO,16235,,
11/7/2014,Edmonton Oilers,3,Buffalo Sabres,2,,17490,,
11/7/2014,Columbus Blue Jackets,2,Carolina Hurricanes,3,OT,11540,,
11/7/2014,Washington Capitals,3,Chicago Blackhawks,2,,21892,,
11/7/2014,New Jersey Devils,2,Detroit Red Wings,4,,20027,,
11/8/2014,New York Islanders,1,Arizona Coyotes,0,,14689,,
11/8/2014,Pittsburgh Penguins,6,Buffalo Sabres,1,,19070,,
11/8/2014,Tampa Bay Lightning,7,Columbus Blue Jackets,4,,14892,,
11/8/2014,San Jose Sharks,5,Dallas Stars,3,,17023,,
11/8/2014,Calgary Flames,6,Florida Panthers,4,,9230,,
11/8/2014,Vancouver Canucks,1,Los Angeles Kings,5,,18230,,
11/8/2014,Minnesota Wild,1,Montreal Canadiens,4,,21287,,
11/8/2014,Winnipeg Jets,2,Ottawa Senators,1,SO,19189,,
11/8/2014,Colorado Avalanche,3,Philadelphia Flyers,4,,19792,,
11/8/2014,Nashville Predators,2,St. Louis Blues,1,,18869,,
11/8/2014,New York Rangers,4,Toronto Maple Leafs,5,,19320,,
11/8/2014,Carolina Hurricanes,3,Washington Capitals,4,OT,18506,,
11/9/2014,Vancouver Canucks,2,Anaheim Ducks,1,SO,16749,,
11/9/2014,San Jose Sharks,2,Chicago Blackhawks,5,,21489,,
11/9/2014,Tampa Bay Lightning,4,Detroit Red Wings,3,SO,20027,,
11/9/2014,Edmonton Oilers,3,New York Rangers,1,,18006,,
11/9/2014,Toronto Maple Leafs,5,Ottawa Senators,3,,19229,,
11/10/2014,New Jersey Devils,2,Boston Bruins,4,,17565,,
11/10/2014,Calgary Flames,1,Carolina Hurricanes,4,,9906,,
11/11/2014,Dallas Stars,4,Arizona Coyotes,3,,11866,,
11/11/2014,Tampa Bay Lightning,2,Chicago Blackhawks,3,SO,21345,,
11/11/2014,San Jose Sharks,1,Florida Panthers,4,,8075,,
11/11/2014,Winnipeg Jets,0,Montreal Canadiens,3,,21287,,
11/11/2014,Minnesota Wild,1,New Jersey Devils,3,,14256,,
11/11/2014,Edmonton Oilers,2,Nashville Predators,3,,17129,,
11/11/2014,Colorado Avalanche,0,New York Islanders,6,,12888,,
11/11/2014,Pittsburgh Penguins,0,New York Rangers,5,,18006,,
11/11/2014,Buffalo Sabres,1,St. Louis Blues,6,,17570,,
11/11/2014,Ottawa Senators,3,Vancouver Canucks,4,OT,18775,,
11/11/2014,Columbus Blue Jackets,2,Washington Capitals,4,,18506,,
11/12/2014,Los Angeles Kings,5,Anaheim Ducks,6,SO,17245,,
11/12/2014,Boston Bruins,1,Toronto Maple Leafs,6,,19264,,
11/13/2014,Winnipeg Jets,3,Carolina Hurricanes,1,,10005,,
11/13/2014,Arizona Coyotes,3,Calgary Flames,5,,18698,,
11/13/2014,Ottawa Senators,4,Edmonton Oilers,3,OT,16839,,
11/13/2014,Dallas Stars,2,Los Angeles Kings,0,,18230,,
11/13/2014,Buffalo Sabres,3,Minnesota Wild,6,,18925,,
11/13/2014,Boston Bruins,1,Montreal Canadiens,5,,21287,,
11/13/2014,Colorado Avalanche,4,New York Rangers,3,SO,18006,,
11/13/2014,Nashville Predators,3,St. Louis Blues,4,,15702,,
11/13/2014,San Jose Sharks,2,Tampa Bay Lightning,1,,19004,,
11/14/2014,Chicago Blackhawks,1,Detroit Red Wings,4,,20027,,
11/14/2014,New York Islanders,4,Florida Panthers,3,SO,10010,,
11/14/2014,Columbus Blue Jackets,4,Philadelphia Flyers,3,,19789,,
11/14/2014,Pittsburgh Penguins,2,Toronto Maple Leafs,1,,19295,,
11/14/2014,Arizona Coyotes,5,Vancouver Canucks,0,,18708,,
11/14/2014,New Jersey Devils,1,Washington Capitals,0,,18506,,
11/15/2014,Carolina Hurricanes,1,Boston Bruins,2,,17565,,
11/15/2014,Toronto Maple Leafs,2,Buffalo Sabres,6,,19070,,
11/15/2014,San Jose Sharks,1,Columbus Blue Jackets,2,,15950,,
11/15/2014,Ottawa Senators,2,Calgary Flames,4,,19289,,
11/15/2014,Minnesota Wild,2,Dallas Stars,1,,17543,,
11/15/2014,Anaheim Ducks,2,Los Angeles Kings,3,OT,18230,,
11/15/2014,Philadelphia Flyers,3,Montreal Canadiens,6,,21287,,
11/15/2014,Colorado Avalanche,3,New Jersey Devils,2,,15626,,
11/15/2014,Winnipeg Jets,1,Nashville Predators,2,,17113,,
11/15/2014,New York Rangers,2,Pittsburgh Penguins,3,SO,18652,,
11/15/2014,Washington Capitals,1,St. Louis Blues,4,,19339,,
11/15/2014,New York Islanders,2,Tampa Bay Lightning,5,,19204,,
11/16/2014,Florida Panthers,6,Anaheim Ducks,2,,16128,,
11/16/2014,San Jose Sharks,2,Carolina Hurricanes,0,,12784,,
11/16/2014,Dallas Stars,2,Chicago Blackhawks,6,,21671,,
11/16/2014,Montreal Canadiens,4,Detroit Red Wings,1,,20027,,
11/16/2014,Arizona Coyotes,2,Edmonton Oilers,1,,16839,,
11/16/2014,Winnipeg Jets,3,Minnesota Wild,4,OT,18808,,
11/17/2014,Tampa Bay Lightning,5,New York Rangers,1,,18006,,
11/18/2014,Washington Capitals,2,Arizona Coyotes,1,OT,11769,,
11/18/2014,St. Louis Blues,0,Boston Bruins,2,,17565,,
11/18/2014,San Jose Sharks,1,Buffalo Sabres,4,,17435,,
11/18/2014,Detroit Red Wings,5,Columbus Blue Jackets,0,,15438,,
11/18/2014,Anaheim Ducks,3,Calgary Flames,4,SO,18421,,
11/18/2014,Carolina Hurricanes,6,Dallas Stars,4,,15678,,
11/18/2014,Florida Panthers,2,Los Angeles Kings,5,,18230,,
11/18/2014,Pittsburgh Penguins,4,Montreal Canadiens,0,,21287,,
11/18/2014,Tampa Bay Lightning,2,New York Islanders,5,,12908,,
11/18/2014,Nashville Predators,9,Toronto Maple Leafs,2,,19012,,
11/18/2014,New Jersey Devils,1,Winnipeg Jets,3,,15016,,
11/19/2014,Vancouver Canucks,5,Edmonton Oilers,4,,16839,,
11/19/2014,Philadelphia Flyers,0,New York Rangers,2,,18006,,
11/20/2014,Chicago Blackhawks,4,Calgary Flames,3,,19289,,
11/20/2014,Washington Capitals,3,Colorado Avalanche,2,,16476,,
11/20/2014,Arizona Coyotes,1,Dallas Stars,3,,16078,,
11/20/2014,Carolina Hurricanes,2,Los Angeles Kings,3,,18230,,
11/20/2014,St. Louis Blues,1,Montreal Canadiens,4,,21287,,
11/20/2014,Nashville Predators,2,Ottawa Senators,3,,16796,,
11/20/2014,Minnesota Wild,3,Philadelphia Flyers,2,,19919,,
11/20/2014,Florida Panthers,3,San Jose Sharks,2,SO,17331,,
11/20/2014,Tampa Bay Lightning,2,Toronto Maple Leafs,5,,19089,,
11/20/2014,Anaheim Ducks,4,Vancouver Canucks,3,SO,18870,,
11/20/2014,Detroit Red Wings,4,Winnipeg Jets,3,,15016,,
11/21/2014,Boston Bruins,4,Columbus Blue Jackets,3,SO,15030,,
11/21/2014,New Jersey Devils,2,Edmonton Oilers,0,,16839,,
11/21/2014,New York Islanders,5,Pittsburgh Penguins,4,SO,18653,,
11/22/2014,Montreal Canadiens,2,Boston Bruins,0,,17565,,
11/22/2014,New Jersey Devils,4,Calgary Flames,5,SO,18874,,
11/22/2014,Carolina Hurricanes,3,Colorado Avalanche,4,,17208,,
11/22/2014,Los Angeles Kings,4,Dallas Stars,5,,18111,,
11/22/2014,Chicago Blackhawks,7,Edmonton Oilers,1,,16839,,
11/22/2014,Florida Panthers,2,Nashville Predators,3,SO,17163,,
11/22/2014,Pittsburgh Penguins,1,New York Islanders,4,,16170,,
11/22/2014,St. Louis Blues,3,Ottawa Senators,2,,18479,,
11/22/2014,Columbus Blue Jackets,2,Philadelphia Flyers,4,,19846,,
11/22/2014,Arizona Coyotes,4,San Jose Sharks,3,SO,17297,,
11/22/2014,Minnesota Wild,1,Tampa Bay Lightning,2,,19204,,
11/22/2014,Detroit Red Wings,1,Toronto Maple Leafs,4,,19311,,
11/22/2014,Buffalo Sabres,2,Washington Capitals,1,,18506,,
11/23/2014,Arizona Coyotes,1,Anaheim Ducks,2,,15928,,
11/23/2014,Montreal Canadiens,0,New York Rangers,5,,18006,,
11/23/2014,Chicago Blackhawks,1,Vancouver Canucks,4,,18663,,
11/23/2014,St. Louis Blues,4,Winnipeg Jets,2,,15016,,
11/24/2014,Pittsburgh Penguins,3,Boston Bruins,2,OT,17565,,
11/24/2014,Ottawa Senators,3,Detroit Red Wings,4,,20027,,
11/24/2014,Minnesota Wild,4,Florida Panthers,1,,8426,,
11/24/2014,Philadelphia Flyers,0,New York Islanders,1,SO,12409,,
11/25/2014,Calgary Flames,2,Anaheim Ducks,3,,17174,,
11/25/2014,Colorado Avalanche,4,Arizona Coyotes,3,OT,12163,,
11/25/2014,Winnipeg Jets,4,Columbus Blue Jackets,2,,13745,,
11/25/2014,Edmonton Oilers,2,Dallas Stars,3,,16322,,
11/25/2014,Los Angeles Kings,3,Nashville Predators,4,SO,17181,,
11/25/2014,Ottawa Senators,3,St. Louis Blues,2,SO,16680,,
11/25/2014,New Jersey Devils,0,Vancouver Canucks,2,,18606,,
11/26/2014,Winnipeg Jets,2,Buffalo Sabres,1,,18442,,
11/26/2014,Chicago Blackhawks,3,Colorado Avalanche,2,,18007,,
11/26/2014,Philadelphia Flyers,2,Detroit Red Wings,5,,20027,,
11/26/2014,Carolina Hurricanes,0,Florida Panthers,1,,8119,,
11/26/2014,Los Angeles Kings,4,Minnesota Wild,0,,19038,,
11/26/2014,Washington Capitals,2,New York Islanders,3,OT,16170,,
11/26/2014,Toronto Maple Leafs,3,Pittsburgh Penguins,4,OT,18645,,
11/26/2014,Calgary Flames,2,San Jose Sharks,0,,17353,,
11/26/2014,New York Rangers,3,Tampa Bay Lightning,4,,19204,,
11/27/2014,Edmonton Oilers,0,Nashville Predators,1,OT,17113,,
11/28/2014,Chicago Blackhawks,4,Anaheim Ducks,1,,17355,,
11/28/2014,Winnipeg Jets,1,Boston Bruins,2,OT,17565,,
11/28/2014,Montreal Canadiens,1,Buffalo Sabres,2,,19070,,
11/28/2014,Vancouver Canucks,5,Columbus Blue Jackets,0,,14121,,
11/28/2014,Minnesota Wild,5,Dallas Stars,4,OT,18532,,
11/28/2014,Ottawa Senators,2,Florida Panthers,3,,9758,,
11/28/2014,Detroit Red Wings,5,New Jersey Devils,4,SO,16592,,
11/28/2014,New York Rangers,3,Philadelphia Flyers,0,,19969,,
11/28/2014,Carolina Hurricanes,4,Pittsburgh Penguins,2,,18665,,
11/28/2014,Edmonton Oilers,3,St. Louis Blues,4,OT,17666,,
11/28/2014,New York Islanders,2,Washington Capitals,5,,18506,,
11/29/2014,Calgary Flames,3,Arizona Coyotes,0,,13530,,
11/29/2014,Pittsburgh Penguins,3,Carolina Hurricanes,2,,11225,,
11/29/2014,Dallas Stars,2,Colorado Avalanche,5,,15761,,
11/29/2014,Chicago Blackhawks,4,Los Angeles Kings,1,,18471,,
11/29/2014,St. Louis Blues,3,Minnesota Wild,2,SO,19124,,
11/29/2014,Buffalo Sabres,4,Montreal Canadiens,3,SO,21287,,
11/29/2014,Columbus Blue Jackets,1,Nashville Predators,2,,16548,,
11/29/2014,New Jersey Devils,1,New York Islanders,3,,16170,,
11/29/2014,Philadelphia Flyers,2,New York Rangers,5,,18006,,
11/29/2014,Anaheim Ducks,4,San Jose Sharks,6,,17352,,
11/29/2014,Ottawa Senators,1,Tampa Bay Lightning,4,,19204,,
11/29/2014,Washington Capitals,2,Toronto Maple Leafs,6,,19161,,
11/30/2014,Vancouver Canucks,3,Detroit Red Wings,5,,20027,,
12/1/2014,Boston Bruins,2,Anaheim Ducks,3,,16457,,
12/1/2014,Florida Panthers,1,Columbus Blue Jackets,2,,12309,,
12/1/2014,Montreal Canadiens,4,Colorado Avalanche,3,,14038,,
12/1/2014,Arizona Coyotes,5,Edmonton Oilers,2,,16839,,
12/1/2014,Tampa Bay Lightning,6,New York Rangers,3,,18006,,
12/2/2014,Tampa Bay Lightning,1,Buffalo Sabres,2,SO,17772,,
12/2/2014,Nashville Predators,1,Carolina Hurricanes,2,,9161,,
12/2/2014,Arizona Coyotes,2,Calgary Flames,5,,18837,,
12/2/2014,Florida Panthers,4,Detroit Red Wings,3,,20027,,
12/2/2014,Boston Bruins,0,Los Angeles Kings,2,,18230,,
12/2/2014,Ottawa Senators,2,New York Islanders,3,OT,13888,,
12/2/2014,New Jersey Devils,0,Pittsburgh Penguins,1,,18572,,
12/2/2014,Philadelphia Flyers,1,San Jose Sharks,2,,17159,,
12/2/2014,Dallas Stars,3,Toronto Maple Leafs,5,,19021,,
12/2/2014,Vancouver Canucks,4,Washington Capitals,3,,18506,,
12/3/2014,Philadelphia Flyers,4,Anaheim Ducks,5,SO,15691,,
12/3/2014,St. Louis Blues,1,Chicago Blackhawks,4,,21514,,
12/3/2014,Montreal Canadiens,1,Minnesota Wild,2,,19034,,
12/3/2014,Edmonton Oilers,2,Winnipeg Jets,3,OT,15016,,
12/4/2014,Los Angeles Kings,4,Arizona Coyotes,0,,12254,,
12/4/2014,Washington Capitals,2,Carolina Hurricanes,1,,10783,,
12/4/2014,Colorado Avalanche,3,Calgary Flames,4,OT,18651,,
12/4/2014,Dallas Stars,2,Detroit Red Wings,5,,20027,,
